Category,URL,회사명,타이틀
백엔드,https://www.wanted.co.kr/wd/142152,롯데헬스케어,서비스 백엔드 엔지니어
백엔드,https://www.wanted.co.kr/wd/107044,넥슨코리아(NEXON),[인텔리전스랩스] 백엔드 개발자
백엔드,https://www.wanted.co.kr/wd/172362,스탠바이랩,신입 백엔드 엔지니어 (JAVA)
백엔드,https://www.wanted.co.kr/wd/45650,페이타랩(패스오더),"[200억↑투자] 백엔드 개발자 (Spring, Python, MSA)"
백엔드,https://www.wanted.co.kr/wd/182786,토기,[신입] 백엔드 엔지니어
백엔드,https://www.wanted.co.kr/wd/37473,뮤즈라이브(Muzlive),백엔드 엔지니어(Java/Spring)
백엔드,https://www.wanted.co.kr/wd/187346,위버스컴퍼니(WEVERSE COMPANY),백엔드개발 (빌링플랫폼)
백엔드,https://www.wanted.co.kr/wd/182064,씨제이올리브영(CJ올리브영),[커머스서비스개발팀] 백엔드 개발자
백엔드,https://www.wanted.co.kr/wd/185370,와이어트,[카카오헤어샵] 백엔드 개발자 (미들-시니어)
백엔드,https://www.wanted.co.kr/wd/175891,핀다(FINDA),백엔드 개발자
백엔드,https://www.wanted.co.kr/wd/94809,토기,백엔드 엔지니어
백엔드,https://www.wanted.co.kr/wd/170912,의식주컴퍼니(런드리고),[100억↑투자] 백엔드 개발자(Java/2년이상)
백엔드,https://www.wanted.co.kr/wd/188781,테이블링,백엔드(Node.js) 개발자
백엔드,https://www.wanted.co.kr/wd/190963,우리엔,반려동물 앱 서비스 백엔드 개발자
백엔드,https://www.wanted.co.kr/wd/187772,커넥팅더닷츠(째깍악어),[300억↑투자] 백엔드 엔지니어 (3년 이상)
백엔드,https://www.wanted.co.kr/wd/188946,줌줌투어,백엔드 개발자 (Node.js)
백엔드,https://www.wanted.co.kr/wd/192588,부스터스,[100억↑투자] 주니어 백엔드 개발자
백엔드,https://www.wanted.co.kr/wd/190470,마음연구소,백엔드 개발자
백엔드,https://www.wanted.co.kr/wd/190455,콜버스랩,[자리톡] Java 백엔드 개발자 (3년 이상)
백엔드,https://www.wanted.co.kr/wd/116772,컬리,[컬리페이] 백엔드 개발자 (Backend Developer)
백엔드,https://www.wanted.co.kr/wd/190545,위버스컴퍼니(WEVERSE COMPANY),백엔드개발 (멤버십)
백엔드,https://www.wanted.co.kr/wd/179754,페이민트,Java 서버/백엔드 개발자(2년 이상)
백엔드,https://www.wanted.co.kr/wd/170474,마켓보로,"[500억↑투자] 통합 플랫폼 개발(Java, 백엔드 개발자)"
백엔드,https://www.wanted.co.kr/wd/147116,한샘,백엔드 개발
백엔드,https://www.wanted.co.kr/wd/187256,브릭베이스,백엔드 개발자
백엔드,https://www.wanted.co.kr/wd/185262,버킷스토어,크리스몰 백엔드 개발자
백엔드,https://www.wanted.co.kr/wd/187843,피어테크(지닥),백엔드 개발
백엔드,https://www.wanted.co.kr/wd/163150,롯데e커머스(롯데ON),Product Developer(백엔드)
백엔드,https://www.wanted.co.kr/wd/99373,일루미나리안,백엔드 개발자
백엔드,https://www.wanted.co.kr/wd/178788,카카오뱅크(kakaobank),서버 개발자 - 백엔드 API
백엔드,https://www.wanted.co.kr/wd/124999,키다리스튜디오,백엔드 개발자
백엔드,https://www.wanted.co.kr/wd/187406,핏투게더,백엔드 개발자 (7년차 이상)
백엔드,https://www.wanted.co.kr/wd/105446,버킷플레이스(오늘의집),"Software Engineer, Backend"
백엔드,https://www.wanted.co.kr/wd/190204,엔라이즈(NRISE),"[100억↑투자] 백엔드(Python, Kotlin) 개발자 (콰트 식단 스쿼드)"
백엔드,https://www.wanted.co.kr/wd/154335,아이티이지,[개발팀] 백엔드 담당자
백엔드,https://www.wanted.co.kr/wd/87634,업템포글로벌,프론트/백엔드 개발자
백엔드,https://www.wanted.co.kr/wd/166897,한국직업개발원,IT 기술연구소 개발자 (백엔드)
백엔드,https://www.wanted.co.kr/wd/173018,와그(WAUG),백엔드 개발자(java)
