Category,URL,회사명,타이틀
데이터,https://www.wanted.co.kr/wd/187259,파트리지시스템즈,자율주행 데이터 솔루션 Back-End 개발자
데이터,https://www.wanted.co.kr/wd/190844,알로하팩토리,[Business Oeprations팀] 게임 데이터 분석 & 운영 솔루션 웹개발자
데이터,https://www.wanted.co.kr/wd/189637,넷마블,데이터 사이언티스트
데이터,https://www.wanted.co.kr/wd/146639,한국투자증권,데이터 분석
데이터,https://www.wanted.co.kr/wd/143597,롯데헬스케어,Data Scientist
데이터,https://www.wanted.co.kr/wd/180945,컬리,[컬리] BI팀 데이터 분석가
데이터,https://www.wanted.co.kr/wd/84866,교보문고,데이터 사이언티스트
데이터,https://www.wanted.co.kr/wd/146640,한국투자증권,데이터 시각화
데이터,https://www.wanted.co.kr/wd/149962,교보문고,데이터 분석 컨설턴트
데이터,https://www.wanted.co.kr/wd/178985,우아한청년들,딜리버리 데이터 분석가(Business Analyst)(3년 이상)
데이터,https://www.wanted.co.kr/wd/189243,지엔에이컴퍼니,[플레이오] 데이터 엔지니어
데이터,https://www.wanted.co.kr/wd/188361,에스투더블유(S2W),데이터 분석가
데이터,https://www.wanted.co.kr/wd/147329,한국투자증권,데이터 전략 및 기획
데이터,https://www.wanted.co.kr/wd/191246,스칼라데이터,CTO
데이터,https://www.wanted.co.kr/wd/185288,한국신용데이터(KCD),[2600억↑투자] Front-End Engineer (Data Platform)
데이터,https://www.wanted.co.kr/wd/187477,오늘의웹툰,백엔드/데이터 엔지니어
데이터,https://www.wanted.co.kr/wd/189887,페이타랩(패스오더),[200억↑투자] 데이터 엔지니어(데이터 분석가)
데이터,https://www.wanted.co.kr/wd/187255,와드(캐치테이블),Data Analyst
데이터,https://www.wanted.co.kr/wd/102064,에이블리코퍼레이션,데이터 분석가
데이터,https://www.wanted.co.kr/wd/185411,와이어트,[카카오헤어샵] 사업기획 / 데이터분석 (미들)
데이터,https://www.wanted.co.kr/wd/186208,그린랩스,팜모닝 데이터 분석가
데이터,https://www.wanted.co.kr/wd/142570,한국신용데이터(KCD),[2600억↑투자] Back-End Engineer (User Lifecycle)
데이터,https://www.wanted.co.kr/wd/184623,콘텐츠웨이브(wavve),[Tech] 데이터 분석가
데이터,https://www.wanted.co.kr/wd/182362,카테노이드,데이터 엔지니어 (Developer)
데이터,https://www.wanted.co.kr/wd/188918,서울프라퍼티인사이트(SPI),데이터서비스 기획자
데이터,https://www.wanted.co.kr/wd/120127,해봄데이터,"웹 개발(프론트엔드, 백엔드)"
