Category,URL,회사명,타이틀
모바일,https://www.wanted.co.kr/wd/189801,씨제이올리브네트웍스(CJ올리브네트웍스),CJ ONE 모바일앱 Android 시스템 개발/운영
모바일,https://www.wanted.co.kr/wd/187310,클래스유,모바일 개발자(iOS/Android)
모바일,https://www.wanted.co.kr/wd/190250,"브레이브모바일(숨고,Soomgo)",Product Owner (신규 BM)
모바일,https://www.wanted.co.kr/wd/186663,바로고(barogo),배달파트 모바일 개발자 (Android)
모바일,https://www.wanted.co.kr/wd/190603,벤디스(식권대장),식권대장 모바일 App 개발자(Android)
모바일,https://www.wanted.co.kr/wd/143640,에스케이디앤디(SK D&D),모바일 앱 개발자 (Flutter)
모바일,https://www.wanted.co.kr/wd/185129,"브레이브모바일(숨고,Soomgo)",Sr. Graphic Designer
모바일,https://www.wanted.co.kr/wd/188390,"브레이브모바일(숨고,Soomgo)",Business Development Lead
모바일,https://www.wanted.co.kr/wd/95621,디더블유아이,웹/모바일 자사 솔루션 퍼블리셔
모바일,https://www.wanted.co.kr/wd/173122,드래프티파이,프론트엔드 / 모바일 (Flutter) 엔지니어
모바일,https://www.wanted.co.kr/wd/161592,"브레이브모바일(숨고,Soomgo)",QA
모바일,https://www.wanted.co.kr/wd/190033,밀리의서재,Android 모바일 앱 개발자
모바일,https://www.wanted.co.kr/wd/156203,한국모바일결제,HR 담당자 (스타트업 2년 이상)
모바일,https://www.wanted.co.kr/wd/189757,브레이크앤컴퍼니,Flutter 모바일 개발자
모바일,https://www.wanted.co.kr/wd/191728,지에스리테일(GS리테일),모바일 앱 개발자 (모바일FO)
모바일,https://www.wanted.co.kr/wd/191435,삼신,모바일 UI/UX 디자이너
모바일,https://www.wanted.co.kr/wd/186913,"브레이브모바일(숨고,Soomgo)",Jr. Performance Marketer (SA)
모바일,https://www.wanted.co.kr/wd/169558,"브레이브모바일(숨고,Soomgo)",Platform Designer
모바일,https://www.wanted.co.kr/wd/188173,서플럭스,"모바일 앱, 웹 UX 디자이너"
모바일,https://www.wanted.co.kr/wd/184070,넥슨코리아(NEXON),[FC모바일] 게임 사업 PM (1년 이상)
모바일,https://www.wanted.co.kr/wd/190108,인티그레이션(메디스트림),[100억↑투자] 다이어트 앱(린다이어트) 모바일 및 Flutter 개발자
모바일,https://www.wanted.co.kr/wd/185388,에임(AIM),모바일 프로덕트 UX/UI 디자이너 (3년 이상)
모바일,https://www.wanted.co.kr/wd/138923,블록체인랩스,모바일 앱 소프트웨어 개발 (Flutter / iOS / Android)
모바일,https://www.wanted.co.kr/wd/50044,디더블유아이,웹/모바일 솔루션 개발 및 운영
모바일,https://www.wanted.co.kr/wd/145023,코콤,플랫폼전략 모바일 iOS App개발
모바일,https://www.wanted.co.kr/wd/131190,인텔리안테크놀로지스,모바일 앱 S/W 개발
모바일,https://www.wanted.co.kr/wd/96347,이스트게임즈,모바일/온라인 게임 마케팅
모바일,https://www.wanted.co.kr/wd/191020,플러스파크,주차정산 앱 기능 개발 및 모바일 앱 개발 (Android)
모바일,https://www.wanted.co.kr/wd/189391,오렌지풋볼네트워크,모바일 프로덕트 디자이너
모바일,https://www.wanted.co.kr/wd/192243,파마브로스,모바일 UX/UI 디자이너
모바일,https://www.wanted.co.kr/wd/183496,인피니티익스체인지코리아,Flutter 모바일 개발자
모바일,https://www.wanted.co.kr/wd/187168,비지트,라운드픽 모바일 서비스 UI/UX 디자이너 (기획 포함)
모바일,https://www.wanted.co.kr/wd/53014,더이앤엠,기술개발부 모바일팀[AOS 개발자]
모바일,https://www.wanted.co.kr/wd/186493,링크커넥션(LinkConnectionCorp.),모바일 Flutter 개발자(2년 이상)
모바일,https://www.wanted.co.kr/wd/97734,리브애니웨어,모바일앱 개발자(Flutter)
모바일,https://www.wanted.co.kr/wd/150677,티비유,모바일 프로덕트 매니저(서비스 기획자/운영 담당자)
모바일,https://www.wanted.co.kr/wd/147386,해긴,[모바일 게임] 데이터 기획 및 분석 담당자
모바일,https://www.wanted.co.kr/wd/74895,아비즈,"모바일, 앱, 웹 서비스 기획자"
모바일,https://www.wanted.co.kr/wd/188731,코드크래프트,웹 / 모바일 서비스 기획
모바일,https://www.wanted.co.kr/wd/93617,한인플레이스,"모바일 백엔드/서버개발(nodeJS , TypeScript)"
모바일,https://www.wanted.co.kr/wd/188844,위메이드(WEMADE),"모바일 클라이언트 개발(DeFi, iOS)"
모바일,https://www.wanted.co.kr/wd/156037,한국모바일결제,B2B 가맹점 영업 담당자 (2년 이상)
모바일,https://www.wanted.co.kr/wd/86689,슈퍼센트,[100억↑투자] 모바일 게임 기획자
모바일,https://www.wanted.co.kr/wd/123616,위닝아이,Android/iOS 모바일 앱 개발자
모바일,https://www.wanted.co.kr/wd/180319,"브레이브모바일(숨고,Soomgo)",UX Researcher
모바일,https://www.wanted.co.kr/wd/187275,로플리,Flutter 모바일 개발 리드
모바일,https://www.wanted.co.kr/wd/179976,코콤,플랫폼전략 모바일 안드로이드 App개발
모바일,https://www.wanted.co.kr/wd/182305,플레이하드,[신작 프로젝트] 모바일 게임 기획자
모바일,https://www.wanted.co.kr/wd/175287,페이지콜,모바일 소프트웨어 엔지니어
모바일,https://www.wanted.co.kr/wd/93262,아이지에이웍스(IGAWorks),[500억↑투자] Sales Manager (모바일인덱스) [신입 가능]
모바일,https://www.wanted.co.kr/wd/72147,이스트게임즈,온라인/모바일 게임서비스 시스템 엔지니어
모바일,https://www.wanted.co.kr/wd/170864,캐논크래커,모바일 게임 클라이언트 개발자 (Unity / C#)
모바일,https://www.wanted.co.kr/wd/104690,제트5,모바일 게임 기획자 (키우기류 MoRPG)
모바일,https://www.wanted.co.kr/wd/192370,포씨게이트,병원용 모바일 서비스 FrontEnd/BackEnd 개발 및 운영자
모바일,https://www.wanted.co.kr/wd/187959,지니,"[ICT본부] 모바일 앱(Android, Flutter) 개발자"
모바일,https://www.wanted.co.kr/wd/188555,펜타시큐리티,모바일 개발 담당자
모바일,https://www.wanted.co.kr/wd/189145,휴맥스네트웍스,모바일 서비스 UX 기획자
모바일,https://www.wanted.co.kr/wd/52763,엔에스에이치씨(NSHC),모바일 개발자
모바일,https://www.wanted.co.kr/wd/192510,뷰노,모바일앱 Hativ 개발팀장
모바일,https://www.wanted.co.kr/wd/191902,헥슬란트,Flutter 모바일 개발자
모바일,https://www.wanted.co.kr/wd/28116,브레인커머스,[잡플래닛] iOS 모바일 앱 개발자
모바일,https://www.wanted.co.kr/wd/183176,에프앤가이드,웹&모바일팀 (리타민 App 개발)
모바일,https://www.wanted.co.kr/wd/191950,"브레이브모바일(숨고,Soomgo)",Product Owner (고수 온보딩)
모바일,https://www.wanted.co.kr/wd/191439,삼신,모바일 프론트엔드 개발자(3년 이상)
모바일,https://www.wanted.co.kr/wd/126957,모인(MOIN),개발팀 모바일 App엔지니어
모바일,https://www.wanted.co.kr/wd/174362,캐논크래커,캐주얼 모바일 게임 기획 (1년 이상)
모바일,https://www.wanted.co.kr/wd/145651,그린도트,서비스기획(웹/모바일/응용SW)
모바일,https://www.wanted.co.kr/wd/137830,파수,모바일 개발
모바일,https://www.wanted.co.kr/wd/152786,시어스랩(Seerslab),모바일 앱 개발자 (Flutter)
모바일,https://www.wanted.co.kr/wd/161344,"브레이브모바일(숨고,Soomgo)",SRE(Site Reliability Engineer)
모바일,https://www.wanted.co.kr/wd/152216,와탭랩스(WhaTapLabs),[100억↑투자] 모바일 앱 개발자
모바일,https://www.wanted.co.kr/wd/188155,투썬플랫폼,"[신입] 닷넷/닷넷코어(.NET Core, .NET 6) 크로스플랫폼 모바일 개발"
모바일,https://www.wanted.co.kr/wd/156018,피플벤처스,모바일·웹 서비스 기획자
모바일,https://www.wanted.co.kr/wd/154121,즐거운,기술연구소 모바일쿠폰 서비스 개발/운영
모바일,https://www.wanted.co.kr/wd/186092,넵튠(Neptune),모바일 게임기획(Junior)
모바일,https://www.wanted.co.kr/wd/185589,레드컬튼,모바일 앱 마케터
모바일,https://www.wanted.co.kr/wd/192241,파마브로스,모바일 앱 개발자(Flutter)
모바일,https://www.wanted.co.kr/wd/192316,패스트파이브,모바일 앱 개발자(React Native)
모바일,https://www.wanted.co.kr/wd/180455,피닉스다트,모바일 UI/UX 디자이너
모바일,https://www.wanted.co.kr/wd/188689,오픈랩소디,모바일 광고 솔루션 - iOS 엔지니어
모바일,https://www.wanted.co.kr/wd/179882,골프존,글로벌 모바일 게임 사업/운영
모바일,https://www.wanted.co.kr/wd/181248,비엘큐(테스트밸리),[100억↑투자] 모바일 App 개발자(Flutter)
모바일,https://www.wanted.co.kr/wd/161551,에이아이에이생명(AIA생명),모바일 헬스케어 플랫폼 백엔드 개발자
모바일,https://www.wanted.co.kr/wd/186982,퍼즐원스튜디오,모바일 퍼즐게임 Game Designer
모바일,https://www.wanted.co.kr/wd/157427,파이러츠(Pirates inc.),"모바일 앱 엔지니어(React Native, RN) 개발자"
모바일,https://www.wanted.co.kr/wd/107050,라익스,"웹, 모바일 UI/UX 기획자"
모바일,https://www.wanted.co.kr/wd/181009,부에노컴퍼니,모바일 앱 서비스 마케팅 리드
모바일,https://www.wanted.co.kr/wd/170540,칸그림,모바일 앱 개발
모바일,https://www.wanted.co.kr/wd/177506,블루포션게임즈,모바일 DBA
모바일,https://www.wanted.co.kr/wd/184071,넥슨코리아(NEXON),[FC모바일] 게임 사업 PM (4년 이상)
모바일,https://www.wanted.co.kr/wd/185279,골프존,DBA (모바일게임)
모바일,https://www.wanted.co.kr/wd/94508,슈퍼센트,[100억↑투자] 모바일 게임 사업 PM
모바일,https://www.wanted.co.kr/wd/104661,제트5,모바일 게임 클라이언트 (Unity3D)
모바일,https://www.wanted.co.kr/wd/176159,팀스파르타,[100억↑투자] 모바일 게임 프로듀서 (PD)
모바일,https://www.wanted.co.kr/wd/171305,캐논크래커,모바일 게임 UA 마케팅
모바일,https://www.wanted.co.kr/wd/160693,알로하팩토리,모바일게임 UI/UX 디자이너
모바일,https://www.wanted.co.kr/wd/139010,세경하이테크,"디자인(모바일, 자동차用, 제품) 파트장"
