,index,position,company_name,description,requirement,preferred,like
0,246,모바일 백엔드/서버개발(nodeJS   TypeScript),한인플레이스,• 올켓 서비스 백앤드 서버 및 백오피스 개발 / DB모델링 • node.js 기반의 개할환경 • 더 좋은 서버환경을 위한 끊임없는 기술 R&D,• Rest API를 이해하고  Restful 하게 API를 개발할 수 있는 개발자  • Cloud 환경에서 Multi Instance Server 개발 경험자 우대  • CI/CD 및 Git 활용에 숙련된 경험자 우대  • Backend 개발플랫폼은 NodeJS + Typescript,• 자기주도적 업무를 지향하시는 분 • 새로운 기술도입에 대한 거부감이 없는 분 • 자유로운 분위기 속에 효율적인 개발 문화를 함께 만들어갈 분,3
1,432,모바일 헬스케어 플랫폼 백엔드 개발자,에이아이에이생명(AIA생명),• AIA Vitality 모바일 앱  back-end 서비스 개발 및 운영 • 비즈니스 요구사항 분석 및 설계 (이해관계자와의 협업 및 업무 조율) • AIA Vitality 서비스 모니터링 및 장애 대응 (장애 포인트를 지속적 검토하여 개선사항 도출) • AIA Vitality 모바일 앱 운영사업자(아웃소싱) 관리,• java 개발 경력 5년 이상 • 모바일 플랫폼 운영과 개발 전반에 대해 높은 이해도 • 비즈니스 영어 중급 이상 실력,• 상용앱 운영 경험자 • 보험 및 헬스케어 서비스 개발 및 운영 경험자 • Cloud 환경에서의 모바일 앱 개발 및 운영 경험자,0
2,685,프론트엔드 / 모바일 (Flutter) 엔지니어,드래프티파이,- Flutter 기반으로 서비스의 앱 및 웹 프론트엔드를 개발합니다. - 본인이 개발하는 기능의 맥락을 이해하고  가장 적합한 구현 형태를 고민합니다. - 실제 작성된 코드를 앱 또는 웹의 형태로 배포단계까지 진행합니다.,- (공통) 해외 여행에 결격 사유가 없을 것 - React / Vue 등 하나 이상의 웹 프레임워크  또는 IOS/안드로이드 앱 개발 경험 - 자료구조  알고리즘  데이터베이스 등의 프로그래밍 관련 기초 지식 - Git 등의 VCS에 대한 이해 및 사용 경험 - UI / UX에 대한 이해,- 1년 이상의 Flutter  또는 기타 hybrid 앱 관련 개발 경험 - Unix 기반 OS 환경에서의 개발 경험 - Vue로 작성된 웹사이트를 실제 서비스로 배포한 경험 - iOS / 안드로이드 앱을 실제로 앱스토어 / 플레이스토어에 배포한 경험 - SNS 형태의 서비스에 대한 웹/앱 개발 경험,2
3,887,모바일 프론트엔드 개발자(3년 이상),삼신,• 하모니랩 앱 개발(Flutter 선호) • 신규 기능 개발 및 개선 • 커뮤니케이션을 통한 앱 기획,• 삼신의 미션과 비전  중심 가치에 깊이 공감하시는분 • 개발 관련 전공 혹은 근무 경력 3년 이상 • 원할한 커뮤니케이션이 가능하신 분,•  Flutter 개발 경력 있으신 분 •  리액트  리액트 네이티브 경력 있으신 분 •  Firebase 및 AWS 기반 서비스를 경험해 보신 분 •  Ios  Android 개발 경력 있으신 분 •  의료  보건 산업쪽에 근무 경험이 있으신 분 •  스타트업 근무 경험이 있으신 분,1
4,1079,[모바일 게임] 데이터 기획 및 분석 담당자,해긴,• 자사가 서비스하는 게임의 지표를 정의하고  수집/분석하기 위한 DB  로그 설계 • 해당 데이터를 직관적으로 이해할 수 있도록 대시보드 기획  설계 • 게임 내 이상 데이터에 대한 추적 및 문서화 • 필요한 데이터를 추출  가공하여 사업 지표 시각화 • 유관 부서에 효과적으로 인사이트를 전달하기 위한 레포팅,• 데이터 관련 실무경력 4년 이상 • 통계 지식 및 관련 툴(SQL  Python 등) 을 사용한 데이터 추출 및 가공 능력 • 데이터를 기반으로 도출된 결과를 문서화 할 수 있는 능력 • 여러 팀과의 원활한 협업을 위해 커뮤니케이션 스킬이 좋으신 분,• 통계 및 프로그래밍 관련 학위 우대 (전산  수학 등) • 게임 관련 데이터 가공 및 분석 경험 • 외부 데이터 수집(Google Play  Apple Appstore  Appsflyer 등) 및 연동 경험  • 사업분석 및 의사 결정에 필요한 데이터 자료 분석 능력,4
5,1262,플러터 모바일앱 개발자,한국미용데이터,• 뷰카프로(뷰티업종 플랫폼앱) 프론트 개발 • 뷰카클래스(온라인 동영상강의앱) 프론트 개발,• 플러터 개발 경험자 • 앱개발(iOS  안드로이드) 개발 경력 1년 이상 • 오픈API 연동 서비스 개발,• 플러터를 통한 동영상서비스  코드푸시 사용경험 • Svelt  React등 프론트엔드 프레임워크 이해 • 인앱결제 서비스 개발 경험,0
6,1298,CJ ONE 모바일앱 Android 시스템 개발/운영,씨제이올리브네트웍스(CJ올리브네트웍스),- CJ ONE 모바일앱 Android 시스템 개발/운영 - Android Native  Hybrid 개발,[Experiences] - 총 경력 5년 이상 - B2C 서비스 개발 및 운영 업무 3년이상 수행 경험 필수 - 사용자 중심의 UX/UI에 대한 관심과 이해 - 모바일앱 시작부터 개발  배포  운영 경험 보유  [Skill/ Knowledge] □ Android Native  Hybrid 개발 경험 필수 - Java 고급 개발 역량  Kotlin 기본 개발 역량 - 자유로운 UI 구성 및 이벤트 처리 개발 역량 - 멀티 쓰레드  네트워크  데이터베이스  비동기 처리 개발 역량 - Git 형상관리에 대한 역량 보유 - 원활한 커뮤니케이션 능력 및 협업 능력 보유자 - 사용자 중심의 UX/UI에 대한 관심과 이해,[Education] - 컴퓨터 공학  IT 전공 우대,7
7,1299,모바일 개발자(iOS/Android),클래스유,• 고객/서비스 지향적인 모바일 설계 및 개발,• 클래스유의 신념  미션  비전에 공감하시는 분 • Swift (or) Kotlin개발 경험  [업무경험] ㆍ 실제 서비스를 만들어 본  운영해 본 경험이 있으신분,• 프로젝트 주도 경험,4
8,1301,배달파트 모바일 개발자 (Android),바로고(barogo),[주요업무] • 바로고 라스트마일 딜리버리 플랫폼 Mobile application 개발  • 라이더앱-안드로이드 개발 담당   [우리팀 소개] ‘배달파트’는 라스트마일 딜리버리의 핵심 역할을 담당하고 있습니다. 중개된 주문정보(배달대행 요청)를 고객에게 배달하기까지의 전체 과정을 담당하고 있습니다. 우리 팀의 기술 스택은 • (공통) 협업툴-슬랙  문서관리-노션 • (공통) 기획관련-Figma  Miro  Git • (공통) 개발관련-Git  Android Studio  Flutter(예정) • (팀내) Java  Kotlin,• Android 기반의 Mobile application 개발 경험을 3년 이상 보유하신 분 • mvvm  클린아키텍쳐 • 코틀린 flow 사용 • 지도(Naver/Google Map) 연동 경험 • 유관 업무 경력 3년 이상,• 실행력 좋은 사람 / 에너지 좋은 사람 ( 쉬지않고 개인이던  업무에서건 Try하는 결과물이 있는사람) • 프로젝트를 A to Z 다루어 본 사람 • 푸드테크 및 라스트마일 딜리버리 도메인 경험이 있는 분 • 모빌리티 및 관제 관련 서비스(앱) 개발을 경험하신 분 • 개발에 재미를 느끼고  새로운 기술에 대한 습득을 열심히 하고  앞으로도 계속 개발을 하고 싶은 분 • 만들어진 코드에 대한 이해심과 함께 자발적으로 코드를 리팩토링하고 테스트 코드를 작성하는 분 • RESTful API 연동 경험 • 구글 플레이 스토어 앱 등록 및 운영 경험 있으신 분 • 안드로이드 UI/UX 가이드라인에 대한 이해도가 높으신 분 • Flutter 등 크로스플랫폼 언어에 대한 방향성을 갖고 계신 분   (현재 안드로이드/iOS 분리 개발 중. 크로스플랫폼 개발의 방향성을 고려하고 있습니다.) • 기획  디자인  서버 직군과 원활하게 소통하고 적극적으로 협업하실 수 있는 분   [R&D개발문화] # 성장에 합당하게 대우합니다. • 코드리뷰  깃브랜치 전략  스프린트 등 다양한 활동을 통해 더 나은 개발문화와 성장을 고민합니다. • 세분화된 레벨 제도를 통해  매년 개인별 역량과 업적을 상세히 평가하고 인정합니다. • 연공서열보다 역량이 중요합니다. 바로고 R&D에서는 90년대생 개발팀장이 나옵니다. • 바로고 R&D의 성장과 함께할 분을 모십니다. 최대 700만원의 추천 포상금을 지급합니다.  # 임팩트있게 일 합니다. • IT직무 부분 재택 근무중입니다.(주 2회 재택근무) • 회식은 필요할 때만! 온라인 미팅으로 대체하기도 합니다. • 월요일 13시 출근으로 충분한 주말을 갖습니다. • 매 스프린트마다 투입가능 시간(리소스)을 반영한 효율적인 개발 Plan을 세우고 있습니다.  # 협업과 공유는 성장의 첫 단계 입니다. • 테크 블로그 및 사내 공유를 통해 함께 공유하고 성장합니다. (사내교육/문화 활동에 리워드 지급) • 코드리뷰는 꼭 합니다. 동료 3인 이상이 리뷰하지 않으면 머지하지 않습니다. • 코드리뷰/깃브랜치는 단순히 상급자의 검토가 아니라 성장을 목표로 개발자간의 피드백/리뷰를 지향합니다.  # 애자일 프로세스를 지향합니다.  • 개발자와 PM/Product Designer가 한 팀 처럼 Scrum팀 구조로 일합니다. • 스프린트를 단순한 스케줄링의 목적으로 활용하지 않습니다. • P-1&P0&P1  플래닝(기획)은 목적 의식을 갖고 문제 해결에 집중할 수 있도록 디테일하게 진행합니다. 데모(회고)를 통해 피드백하며 Align 합니다.,6
9,1302,식권대장 모바일 App 개발자(Android),벤디스(식권대장),• 식권대장 서비스의 Android 모바일 클라이언트 앱 개발 / 유지보수 • 식권대장 App 개발 및 유지보수 • 식당대장 App 개발 및 유지보수,• 경력 3년 이상 • Android  Java 능통자 • 모바일 UI / UX에 대한 높은 이해도 • Android 최신 트랜드를 이용한 개발 경험 • 개발자 외 타 직군과도 원활히 소통하는 능력 • Git / Github 사용 및 기본이해 • Native App 런칭 및 운영/보수 경험,• Kotlin 능통자 • Figma를 이용한 협업 경험 • Hybrid App 개발경험 및 웹 개발 경험 • Flutter 개발 및 운영 경험 • 단위테스트/테스트 자동화에 대한 경험 • 다양한 오픈소스 사용 경험 • 아키텍쳐  클린코드  리펙토링  코드리뷰에 경험이나 관심이 많으신 분,2
