,cleaned_words,num
6,development,1130
8,data,993
10,service,709
14,development,554
18,service,403
20,design,372
21,operation,369
23,management,340
24,work,337
26,system,320
29,analysis,314
33,team,295
35,business,288
36,api,283
39,platform,270
40,web,259
43,backend,247
45,front-end,237
46,product,235
52,data,173
54,/,168
55,maintenance,166
56,server,162
57,interview,155
58,design,148
59,app,147
61,process,143
63,performance,138
65,provide,137
66,code,134
67,user,131
68,experience,131
69,create,131
70,etc,124
71,aws,123
72,customer,122
73,operate,120
74,environment,120
75,product,115
76,planning,114
77,mobile,114
78,ai,113
79,technology,112
81,application,109
84,function,103
89,processing,97
90,project,95
93,infrastructure,92
94,manage,91
95,establishment,91
96,react,88
97,collaboration,86
99,web,85
100,service,85
103,improvement,83
105,task,82
106,solution,82
109,problem,81
111,etc,81
114,insight,79
115,game,79
117,user,78
121,back-end,77
123,quality,76
124,developer,76
125,customer,76
126,use,75
128,implement,75
129,architecture,75
130,information,74
131,system,73
132,solve,73
134,document,73
135,solution,71
136,model,71
137,backend,71
138,support,70
139,office,70
140,content,70
141,test,68
142,pipeline,66
143,member,66
145,company,66
146,project,65
148,growth,65
149,advancement,65
150,tool,64
151,monitoring,64
153,construction,63
156,service,62
157,implementation,62
159,build,62
161,operating,61
163,front-end,61
164,db,61
165,feature,60
166,data,60
167,advertising,60
173,collaborate,59
175,research,58
176,indicator,57
178,technology,56
180,analyze,56
181,logic,54
184,achieve,53
187,model,52
188,design,52
189,communication,52
192,value,51
193,marketing,51
196,key,50
197,create,50
200,plan,49
202,efficient,49
203,mobile,49
204,code,49
205,process,48
206,issue,48
208,automation,48
210,build,48
212,core,47
213,research,47
215,people,46
217,market,46
219,optimization,45
221,data,45
222,cloud,45
223,ui/ux,45
224,sale,44
225,result,44
226,building,44
227,requirement,43
230,collection,43
231,product,43
235,+,43
236,page,42
239,real-time,41
240,integration,41
241,help,41
243,server,41
245,stack,40
246,production,40
251,visualization,39
253,blockchain,39
254,application,39
255,rest,39
257,structure,38
258,review,38
259,management,38
260,function,38
262,engineer,38
263,consultation,38
265,analysis,38
267,ui,38
268,*,38
270,amount,37
271,spring,37
272,user,36
275,deployment,36
276,business ],36
278,team,36
279,react,36
280,node.js,36
282,person,35
283,front,35
284,development,35
285,deep,35
286,control,35
288,analyze,35
289,strategy,34
290,part,34
293,acceptance,34
294,slack,34
295,cloud,34
297,want,33
299,role,33
300,grow,33
302,define,33
303,database,33
305,share,32
306,service,32
308,perform,32
309,order,32
310,hypothesis,32
313,direction,32
314,derive,32
315,collaborate,32
318,system,32
319,python,32
320,management,32
321,analysis,32
322,training,31
323,server,31
325,maintain,31
326,lead,31
327,language,31
328,job,31
329,behavior,31
330,back-end,31
331,app,31
332,admin,31
335,team,30
336,response,30
338,operation,30
339,need,30
340,intelligence,30
342,colleague,30
343,client,30
344,charge,30
345,algorithm,30
346,platform,30
347,perform,30
348,manage,30
349,task,29
352,increase,29
355,digital,29
356,designer,29
357,culture,29
359,use,29
360,collaboration,29
362,search,28
363,organization,28
365,development,28
368,implementation,28
370,usability,27
371,tool,27
372,settlement,27
375,position,27
376,payment,27
377,machine,27
378,log,27
379,improvement,27
380,feature,27
381,efficiency,27
382,developer,27
383,component,27
384,company-wide,27
385,asset,27
386,appropriate,27
387,allows,27
388,selection,27
389,google,27
390,git,27
391,apis,27
392,video,26
393,traffic,26
394,salary,26
396,linkage,26
397,join,26
398,industry,26
400,distribution,26
401,dashboard,26
402,algorithm,26
403,[ technology,26
404,work,26
405,procedure ],26
406,jira,26
407,define,26
409,understand,25
410,time,25
412,schedule,25
413,recommendation,25
414,page,25
415,online,25
417,knowledge,25
418,document,25
420,building,25
422,admin,25
424,saas,25
426,business,25
427,b2b,25
428,team,24
429,status,24
430,platform,24
433,in-house,24
435,document,24
436,developed,24
438,decision,24
439,dashboard,24
440,customer,24
441,communicate,24
442,commerce,24
443,administrator,24
445,technology,24
446,recruitment,24
447,planning,24
448,mysql,24
449,a/b,24
453,strategy,23
455,screen,23
456,product,23
462,game,23
463,department,23
464,decision-making,23
465,conduct,23
466,company,23
468,review,23
469,python,23
472,>,23
474,verification,22
475,variety,22
477,think,22
478,smart,22
479,service,22
481,please,22
483,kind,22
484,introduction,22
486,frontend,22
487,framework,22
488,experience,22
490,designer,22
491,delivery,22
494,carry,22
496,ux,22
497,redis,22
498,please,22
502,application,22
503,team,21
507,productivity,21
508,pipeline,21
510,need,21
511,logistics,21
513,life,21
514,health,21
516,engineering,21
521,area,21
522,analysis,21
523,notion,21
524,job,21
525,java,21
526,interview,21
527,aws,21
528,website,20
529,verify,20
530,treatment,20
531,store,20
532,reporting,20
533,recruitment,20
534,process,20
535,image,20
536,io,20
537,goal,20
538,feedback,20
539,execution,20
540,employment,20
544,creation,20
545,apps,20
546,aim,20
549,ml,20
554,web/app,19
557,security,19
558,resource,19
559,report,19
560,relevant,19
562,progress,19
563,process,19
564,problem,19
567,occur,19
568,multiple,19
569,member,19
570,member,19
571,medium,19
574,enhance,19
577,check,19
578,area,19
580,treatment,19
581,support,19
582,confluence,19
583,boot,19
585,work,18
588,suggest,18
590,site,18
591,service,18
592,result,18
593,program,18
596,log,18
597,introduce,18
598,indicator,18
599,handle,18
600,goal,18
602,establishment,18
603,engine,18
604,detection,18
605,decision,18
606,collect,18
607,advance,18
608,understand,18
609,stack,18
611,lead,18
613,experience,18
614,database,18
615,ci/cd,18
617,way,17
618,travel,17
619,system,17
620,software,17
621,selection,17
622,respond,17
623,promotion,17
624,product,17
625,planning,17
626,planner,17
627,period,17
628,operation,17
629,module,17
630,method,17
631,learn,17
634,experience,17
635,expansion,17
636,environment,17
637,domain,17
638,discover,17
641,order,17
642,maintenance,17
643,kcd,17
644,github,17
645,framework,17
646,finda,17
647,docker,17
648,developed,17
649,devops,17
650,derive,17
652,android,17
655,vision,16
657,trend,16
659,source,16
660,series,16
663,review,16
664,result,16
665,question,16
666,problem,16
667,perspective,16
668,patent,16
671,meet,16
674,level,16
676,idea,16
677,exchange,16
678,enjoy,16
679,e-commerce,16
681,campaign,16
684,typescript,16
685,typescript,16
687,mysql,16
688,infrastructure,16
690,gangnam,16
692,view,15
694,tool,15
696,reflect,15
699,partner,15
702,monitor,15
703,module,15
704,laundry,15
705,launch,15
708,impact,15
709,future,15
710,failure,15
712,end,15
713,device,15
716,configuration,15
717,change,15
718,batch,15
722,typescript,15
724,spark,15
725,r,15
726,project,15
727,next.js,15
728,java,15
729,flutter,15
730,django,15
731,design,15
732,creation,15
742,student,14
743,storage,14
744,stage,14
746,product,14
747,prediction,14
749,play,14
750,platform,14
751,owner,14
755,manages,14
756,manager,14
759,issue,14
760,include,14
761,hypothesis,14
762,focus,14
763,estate,14
765,chapter,14
766,career,14
769,addition,14
770,accounting,14
771,sql,14
772,s3,14
773,redis,14
774,lab,14
775,ip,14
777,communication,14
778,b2c,14
780,year,13
781,us,13
782,test,13
783,technique,13
784,system,13
785,stakeholder,13
786,skill,13
787,scalability,13
788,roadmap,13
789,right,13
790,propose,13
791,operation,13
793,interface,13
794,inspection,13
795,help,13
797,field,13
798,execute,13
799,excellent,13
801,employee,13
806,culture,13
807,contribute,13
808,company,13
809,collect,13
810,collection,13
811,capability,13
812,automate,13
814,activity,13
815,write,13
816,selection,13
817,restful,13
818,operate,13
819,mongodb,13
820,msa,13
821,laundrygo,13
822,jenkins,13
823,improvement,13
825,github,13
826,game,13
828,contribute,13
829,cs,13
835,user,12
837,time,12
838,technology,12
839,tax,12
840,standard,12
843,setting,12
845,set,12
848,resume,12
849,requirement,12
851,publishing,12
852,public,12
853,project,12
854,program,12
855,processing,12
857,plan,12
860,monitoring,12
861,manufacturing,12
862,library,12
863,language,12
864,],12
865,join,12
866,inference,12
869,governance,12
870,form,12
871,education,12
873,develops,12
874,developer,12
876,conversion,12
880,bug,12
881,boot,12
884,art,12
885,addition,12
886,[,12
888,test,12
889,stack ],12
890,present,12
891,pas,12
892,pm,12
893,operation,12
894,next.js,12
896,iot,12
897,html,12
898,communicate,12
901,volume,11
902,visualize,11
903,version,11
905,type,11
906,system,11
908,study,11
909,stack ],11
910,sprint,11
911,],11
912,robot,11
913,report,11
914,recruiting,11
915,query,11
916,product,11
917,proceed,11
918,procedure,11
920,policy,11
921,planner,11
922,pas,11
923,participation,11
924,on-chain,11
926,month,11
927,modeling,11
928,meeting,11
929,marketing,11
930,management,11
931,legacy,11
932,indicator,11
933,group,11
936,full-time,11
937,field,11
938,expand,11
939,evaluation,11
941,content,11
942,component,11
943,company,11
945,camp,11
947,assignment,11
948,ask,11
949,anyone,11
951,recruitment,11
952,[,11
953,[,11
954,[ development,11
955,user,11
956,],11
957,typescript,11
958,tool,11
960,slack,11
961,set,11
962,seoul,11
963,search,11
964,qa,11
965,provide,11
967,mlops,11
968,kubernetes,11
969,kotlin,11
970,implement,11
971,growth,11
972,full-time,11
973,firebase,11
974,engineer,11
976,camp,11
977,automation,11
982,write,10
983,work,10
984,week,10
985,web,10
986,visualization,10
987,vehicle,10
988,type,10
989,],10
991,thing,10
992,testing,10
993,stack,10
994,someone,10
995,solution,10
1001,screen,10
1002,screening,10
1003,scalability,10
1004,resolve,10
1005,requirement,10
1007,query,10
1008,protection,10
1009,priority,10
1010,power,10
1013,payment,10
1014,opportunity,10
1015,number,10
1016,model,10
1017,member,10
1018,measure,10
1019,measure,10
1020,maximum,10
1021,management-,10
1024,leader,10
1025,item,10
1026,investment,10
1027,industry,10
1029,growth,10
1030,generation,10
1031,future,10
1032,function,10
1034,fit,10
1035,failure,10
1036,expertise,10
1037,event,10
1038,environment,10
1039,engineer,10
1041,discus,10
1043,developer,10
1044,develop,10
1045,determine,10
1046,detect,10
1048,deliver,10
1049,day,10
1050,credit,10
1051,creates,10
1053,condition,10
1057,channel,10
1059,aspect,10
1064,vue.js,10
1065,unni,10
1066,sql,10
1067,sdk,10
1068,react.js,10
1069,rds,10
1070,music,10
1071,monitor,10
1072,kpis,10
1073,git,10
1074,digital,10
1076,customer,10
1077,culture,10
1079,codeit,10
1081,backend,10
1082,automate,10
1083,assignment,10
1084,architecture,10
1089,wallet,9
